Entry	Gene names	Organism	Gene ontology IDs
A0A0E3S3A5	hemA MSLAZ_0316	Methanosarcina lacustris Z-7289	GO:0006782; GO:0008883; GO:0050661
A0A0E3RZ72	MSLAZ_0313	Methanosarcina lacustris Z-7289	GO:0003700; GO:0005622; GO:0043565
A0A0E3WSU0	MSLAZ_0314	Methanosarcina lacustris Z-7289	GO:0003700; GO:0005622; GO:0043565
A0A0E3S3A2	MSLAZ_0311	Methanosarcina lacustris Z-7289	GO:0000502
A0A0E3S472	MSLAZ_0312	Methanosarcina lacustris Z-7289	GO:0003824; GO:0051536
A0A0F8D0P7	EO92_00500	Methanosarcina sp. 2.H.A.1B.4	
A0A0E3S0N8	MSLAZ_0310	Methanosarcina lacustris Z-7289	GO:0016021
A0A0E3NT38	MSWH1_2714	Methanosarcina sp. WH1	GO:0004655; GO:0006779; GO:0046872
A0A0E3RZ76	hemL MSLAZ_0318	Methanosarcina lacustris Z-7289	GO:0005737; GO:0006779; GO:0008483; GO:0030170; GO:0042286
D8JBR8	HacjB3_16856 C497_02187	Halalkalicoccus jeotgali (strain DSM 18796 / CECT 7217 / JCM 14584 / KCTC 4019 / B3)	GO:0016021
D8JBR9	HacjB3_16861 C497_02192	Halalkalicoccus jeotgali (strain DSM 18796 / CECT 7217 / JCM 14584 / KCTC 4019 / B3)	
D8JBS0	HacjB3_16866	Halalkalicoccus jeotgali (strain DSM 18796 / CECT 7217 / JCM 14584 / KCTC 4019 / B3)	
D8JBS1	HacjB3_16871 C497_02202	Halalkalicoccus jeotgali (strain DSM 18796 / CECT 7217 / JCM 14584 / KCTC 4019 / B3)	GO:0016021
A0A0E3SS10	MCMEM_1155	Methanococcoides methylutens MM1	GO:0005509; GO:0008234; GO:0016020
A0A0E3X1F9	MCMEM_1156	Methanococcoides methylutens MM1	GO:0016730
D8JBR6	HacjB3_16846 C497_02177	Halalkalicoccus jeotgali (strain DSM 18796 / CECT 7217 / JCM 14584 / KCTC 4019 / B3)	
D8JBR7	HacjB3_16851 C497_02182	Halalkalicoccus jeotgali (strain DSM 18796 / CECT 7217 / JCM 14584 / KCTC 4019 / B3)	
A0A0E3X0D9	MCMEM_1151	Methanococcoides methylutens MM1	
A0A0E3WZW0	MCMEM_1152	Methanococcoides methylutens MM1	GO:0005525
A0A0E3SR05	MCMEM_1153	Methanococcoides methylutens MM1	
A0A0E3SS88	MCMEM_1154	Methanococcoides methylutens MM1	
A0A0E3WZN0	MCMEM_1147	Methanococcoides methylutens MM1	GO:0016021
A0A0E3SR02	MCMEM_1148	Methanococcoides methylutens MM1	GO:0004871; GO:0016020
A0A0E3SS85	MCMEM_1149	Methanococcoides methylutens MM1	GO:0004795
A0A0E3SS06	MCMEM_1150	Methanococcoides methylutens MM1	
A0A1D8MTA2	AQV86_04795	Nanohaloarchaea archaeon SG9	GO:0003676
A0A1D8MT89	AQV86_04805	Nanohaloarchaea archaeon SG9	
A0A1D8MT73	AQV86_04755	Nanohaloarchaea archaeon SG9	GO:0016021
A0A1D8MT74	AQV86_04760	Nanohaloarchaea archaeon SG9	GO:0016021
A0A1D8MT87	AQV86_04765	Nanohaloarchaea archaeon SG9	GO:0016021
A0A1D8MT78	AQV86_04770	Nanohaloarchaea archaeon SG9	GO:0003676
A0A1D8MTA1	AQV86_04775	Nanohaloarchaea archaeon SG9	GO:0003676
A0A1D8MT90	AQV86_04780	Nanohaloarchaea archaeon SG9	GO:0016021
A0A1D8MT77	AQV86_04785	Nanohaloarchaea archaeon SG9	
A0A1D8MT72	AQV86_04790	Nanohaloarchaea archaeon SG9	GO:0016021
Q12TD3	Mbur_0131 Mbur_0566 Mbur_0567 Mbur_0584 Mbur_0785 Mbur_1279 Mbur_1446 Mbur_1639 Mbur_1923 Mbur_2019 Mbur_2137 Mbur_2160 Mbur_2173 Mbur_2442	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	GO:0003677; GO:0004803; GO:0006313
Q12U67	Mbur_2139	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	GO:0003824
Q12U70	Mbur_2133	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	GO:0005524; GO:0016887
Q12U69	Mbur_2134	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	
Q12U72	Mbur_2131	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	
Q12U71	Mbur_2132	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	GO:0005886; GO:0006810; GO:0016021
Q12U74	Mbur_2129	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	GO:0016021
Q12U73	Mbur_2130	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	GO:0043565
Q12U76	Mbur_2127	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	GO:0016021
Q12U75	thiL Mbur_2128	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	GO:0000287; GO:0005524; GO:0009030; GO:0009228; GO:0009229
A0A0E3S0I1	MSLAZ_0878	Methanosarcina lacustris Z-7289	GO:0016021
A0A0E3S5E5	MSLAZ_0877	Methanosarcina lacustris Z-7289	GO:0003824; GO:0051536
A0A0E3S4M3	rpl7ae MSLAZ_0876	Methanosarcina lacustris Z-7289	GO:0001682; GO:0003735; GO:0004526; GO:0005840; GO:0006412; GO:0019843; GO:0042254
A0A0E3S206	rps28e MSLAZ_0875	Methanosarcina lacustris Z-7289	GO:0003735; GO:0005840; GO:0006412
A0A0F8CR55	rpl24e EO94_08050	Methanosarcina sp. 2.H.T.1A.3	GO:0003735; GO:0005840; GO:0006412; GO:0008270; GO:0019843
A0A0E3S0H7	ndk MSLAZ_0873	Methanosarcina lacustris Z-7289	GO:0004550; GO:0005524; GO:0005737; GO:0006183; GO:0006228; GO:0006241; GO:0046872
A0A0E3S5E1	infB MSLAZ_0872	Methanosarcina lacustris Z-7289	GO:0003743; GO:0003924; GO:0005525; GO:0005622
A0A0E3S4L9	rps6e MSLAZ_0871	Methanosarcina lacustris Z-7289	GO:0003735; GO:0005840; GO:0006412
A0A0E3S202	MSLAZ_0870	Methanosarcina lacustris Z-7289	GO:0016021
A0A0E3WS57	MSLAZ_0869	Methanosarcina lacustris Z-7289	GO:0016021; GO:0017004; GO:0055114
A0A0E3STF3	MCMEM_2025	Methanococcoides methylutens MM1	GO:0016491; GO:0020037; GO:0051536
A0A0E3X1D0	MCMEM_2026	Methanococcoides methylutens MM1	GO:0004799
A0A0E3L4M3	gatE MSWH1_1500	Methanosarcina sp. WH1	GO:0004812; GO:0005524; GO:0005737; GO:0006412; GO:0016740; GO:0050567
A0A0E3S790	MSLAZ_1607	Methanosarcina lacustris Z-7289	GO:0003676; GO:0004519
A0A0E3S3S7	MSLAZ_1600	Methanosarcina lacustris Z-7289	
A0A0E3WRD6	MSLAZ_1599	Methanosarcina lacustris Z-7289	GO:0016021; GO:0055085
A0A0E3S786	MSLAZ_1602	Methanosarcina lacustris Z-7289	GO:0005506; GO:0016730
A0A0E3S6F8	MSLAZ_1601	Methanosarcina lacustris Z-7289	GO:0005623; GO:0009055; GO:0015035; GO:0045454
A0A0E3WSR8	MSLAZ_1604	Methanosarcina lacustris Z-7289	GO:0007165
A0A0E3S278	MSLAZ_1603	Methanosarcina lacustris Z-7289	
A0A0E3S6G4	MSLAZ_1606	Methanosarcina lacustris Z-7289	GO:0004519
A0A0E3S3T1	MSLAZ_1605	Methanosarcina lacustris Z-7289	GO:0006810; GO:0030151
A0A0E3STN1	thiC MCMEM_2019	Methanococcoides methylutens MM1	GO:0008270; GO:0009228; GO:0009229; GO:0016829; GO:0051539
A0A0E3SRM2	MCMEM_0935	Methanococcoides methylutens MM1	
A0A0E3WZD5	MCMEM_0936	Methanococcoides methylutens MM1	GO:0005524; GO:0016887
A0A0E3STF0	MCMEM_2020	Methanococcoides methylutens MM1	
A0A0E3X186	MCMEM_0931	Methanococcoides methylutens MM1	GO:0005524; GO:0006090; GO:0006094; GO:0008986; GO:0046872
A0A0E3WZT0	MCMEM_0932	Methanococcoides methylutens MM1	
A0A0E3SQL9	MCMEM_0933	Methanococcoides methylutens MM1	GO:0016021
A0A0E3SRU5	MCMEM_0934	Methanococcoides methylutens MM1	GO:0016021
A0A0E3WZM2	MCMEM_0927	Methanococcoides methylutens MM1	GO:0016021
A0A0E3SQL3	MCMEM_0928	Methanococcoides methylutens MM1	GO:0006412; GO:0043766
A0A0E3SRU2	MCMEM_0929	Methanococcoides methylutens MM1	GO:0003961; GO:0003962; GO:0030170
A0A0E3SRL9	metX MCMEM_0930	Methanococcoides methylutens MM1	GO:0004414; GO:0005737; GO:0009086
D8J5R4	HacjB3_01635 C497_17687	Halalkalicoccus jeotgali (strain DSM 18796 / CECT 7217 / JCM 14584 / KCTC 4019 / B3)	GO:0016740
D8J5R5	HacjB3_01640 C497_17682	Halalkalicoccus jeotgali (strain DSM 18796 / CECT 7217 / JCM 14584 / KCTC 4019 / B3)	GO:0016021
D8J5R6	HacjB3_01645 C497_17677	Halalkalicoccus jeotgali (strain DSM 18796 / CECT 7217 / JCM 14584 / KCTC 4019 / B3)	GO:0003824
D8J5R7	HacjB3_01650 C497_17672	Halalkalicoccus jeotgali (strain DSM 18796 / CECT 7217 / JCM 14584 / KCTC 4019 / B3)	GO:0016491
D8J5R0	HacjB3_01615 C497_17707	Halalkalicoccus jeotgali (strain DSM 18796 / CECT 7217 / JCM 14584 / KCTC 4019 / B3)	GO:0003824; GO:0005975
D8J5R1	HacjB3_01620 C497_17702	Halalkalicoccus jeotgali (strain DSM 18796 / CECT 7217 / JCM 14584 / KCTC 4019 / B3)	GO:0000160; GO:0005622
D8J5R3	HacjB3_01630 C497_17692	Halalkalicoccus jeotgali (strain DSM 18796 / CECT 7217 / JCM 14584 / KCTC 4019 / B3)	GO:0000160; GO:0005622; GO:0016301
D8J5Q8	HacjB3_01605 C497_17717	Halalkalicoccus jeotgali (strain DSM 18796 / CECT 7217 / JCM 14584 / KCTC 4019 / B3)	GO:0016021; GO:0016740
D8J5Q9	HacjB3_01610	Halalkalicoccus jeotgali (strain DSM 18796 / CECT 7217 / JCM 14584 / KCTC 4019 / B3)	
A0A0E3S732	MSLAZ_1532	Methanosarcina lacustris Z-7289	GO:0015171; GO:0016021
A0A0E3S699	MSLAZ_1531	Methanosarcina lacustris Z-7289	GO:0016021
A0A0E3S3M0	MSLAZ_1530	Methanosarcina lacustris Z-7289	GO:0008168
A0A0E3WSQ5	MSLAZ_1529	Methanosarcina lacustris Z-7289	GO:0003824; GO:0005525; GO:0005622; GO:0006614; GO:0009058
A0A0E3S6A3	MSLAZ_1536	Methanosarcina lacustris Z-7289	GO:0003677; GO:0004386; GO:0005524
A0A0E3S3M4	MSLAZ_1535	Methanosarcina lacustris Z-7289	
A0A0E3WRP4	MSLAZ_1534	Methanosarcina lacustris Z-7289	GO:0016491
A0A0E3S241	MSLAZ_1538	Methanosarcina lacustris Z-7289	GO:0016021
A0A0E3S736	thrS MSLAZ_1537	Methanosarcina lacustris Z-7289	GO:0004829; GO:0005524; GO:0005737; GO:0006435; GO:0008270
Q12V57	Mbur_1780	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	
Q12V58	Mbur_1779	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	
Q12V61	Mbur_1776	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	GO:0003824; GO:0005506; GO:0051539
Q12V62	Mbur_1775	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	GO:0000155; GO:0005622; GO:0006355
Q12V59	Mbur_1778	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	GO:0016021; GO:0016888
Q12V60	Mbur_1777	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	
Q12V65	Mbur_1772	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	GO:0003723; GO:0006400; GO:0016763
Q12V66	Mbur_1771	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	GO:0006474; GO:0008080
Q12V63	hdrD Mbur_1774	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	GO:0051536; GO:0051912
Q12V64	glcD Mbur_1773	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	GO:0004458; GO:0050660
A0A0E3S9X0	cbiA MSLAZ_3166	Methanosarcina lacustris Z-7289	GO:0005524; GO:0006541; GO:0009236; GO:0016874; GO:0042242
A0A0F8C969	EO92_11340	Methanosarcina sp. 2.H.A.1B.4	
A0A0E3NML8	moaA MSWHS_3324	Methanosarcina sp. WWM596	GO:0005525; GO:0006777; GO:0019008; GO:0046872; GO:0051539; GO:0061798; GO:1904047
A0A0E3S5K7	surE MSLAZ_3163	Methanosarcina lacustris Z-7289	GO:0000166; GO:0005737; GO:0008253; GO:0046872
A0A0E3SB08	MSLAZ_3162	Methanosarcina lacustris Z-7289	GO:0016779
A0A0E3S9W5	MSLAZ_3161	Methanosarcina lacustris Z-7289	
A0A0E3S7C1	MSLAZ_3160	Methanosarcina lacustris Z-7289	GO:0016779
A0A0E3WSG2	MSLAZ_3159	Methanosarcina lacustris Z-7289	GO:0004820; GO:0005524; GO:0005737; GO:0006426
A0A0E3S5L0	pcn MSLAZ_3168	Methanosarcina lacustris Z-7289	GO:0003677; GO:0006260; GO:0006275; GO:0030337
A0A0E3SB10	priL MSLAZ_3167	Methanosarcina lacustris Z-7289	GO:0003896; GO:0046872; GO:0051539; GO:1990077
Q12Z08	acnB Mbur_0316	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	GO:0003994; GO:0005829; GO:0006099; GO:0051539
Q12Z07	Mbur_0318	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	
Q12Z12	Mbur_0312	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	GO:0000155; GO:0005622
Q12Z11	Mbur_0313	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	GO:0003755
Q12Z10	Mbur_0314	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	GO:0005509; GO:0007156; GO:0016021
Q12Z09	Mbur_0315	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	
Q12Z16	Mbur_0308	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	
Q12Z15	Mbur_0309	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	
Q12Z14	Mbur_0310	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	
Q12Z13	Mbur_0311	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	
A9A1P4	Nmar_1663	Nitrosopumilus maritimus (strain SCM1)	GO:0005507; GO:0006807; GO:0050421
A9A1P3	Nmar_1662	Nitrosopumilus maritimus (strain SCM1)	GO:0016021
A9A1N8	Nmar_1657	Nitrosopumilus maritimus (strain SCM1)	GO:0016021
A9A1N7	Nmar_1656	Nitrosopumilus maritimus (strain SCM1)	GO:0006355
A9A1N6	Nmar_1655	Nitrosopumilus maritimus (strain SCM1)	GO:0007155; GO:0030001; GO:0046872
A9A1N5	Nmar_1654	Nitrosopumilus maritimus (strain SCM1)	GO:0005524; GO:0016887
A9A1P2	Nmar_1661	Nitrosopumilus maritimus (strain SCM1)	
A9A1P1	Nmar_1660	Nitrosopumilus maritimus (strain SCM1)	GO:0016021; GO:0016787
A9A1P0	Nmar_1659	Nitrosopumilus maritimus (strain SCM1)	GO:0006950
A9A1N9	Nmar_1658	Nitrosopumilus maritimus (strain SCM1)	GO:0005623; GO:0016021; GO:0045454
A0A0E3WYZ5	MCMEM_0561	Methanococcoides methylutens MM1	GO:0015948
A0A0E3WZU8	MCMEM_0562	Methanococcoides methylutens MM1	GO:0015948
A0A0E3SPU0	MCMEM_0563	Methanococcoides methylutens MM1	GO:0015948; GO:0050524
A0A0E3SR47	MCMEM_0564	Methanococcoides methylutens MM1	GO:0003824; GO:0051536
A0A0E3WZC1	proB MCMEM_0557	Methanococcoides methylutens MM1	GO:0003723; GO:0004349; GO:0005524; GO:0005737; GO:0055129
A0A0E3SPT2	proA MCMEM_0558	Methanococcoides methylutens MM1	GO:0004350; GO:0005737; GO:0050661; GO:0055129
A0A0E3SR43	MCMEM_0559	Methanococcoides methylutens MM1	GO:0015948; GO:0046872; GO:0050524
A0A0E3SQX9	MCMEM_0560	Methanococcoides methylutens MM1	GO:0015948; GO:0050524
Q12TF2	polC Mbur_2423	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	GO:0003677; GO:0003887; GO:0004527; GO:0006260; GO:0006308
A0A0E3WZ93	MCMEM_0566	Methanococcoides methylutens MM1	
A0A031GJX7	BW35_01167	Micrococcus luteus (Micrococcus lysodeikticus)	
A0A031GIB0	BW35_01168	Micrococcus luteus (Micrococcus lysodeikticus)	
A0A031GI70	BW35_01169	Micrococcus luteus (Micrococcus lysodeikticus)	GO:0016021
